  PID   TT  STAT      TIME COMMAND
  458   ??  S      0:00.85 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  462   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/SystemAdministration.framework/XPCServices/writeconfig.xpc/Contents/MacOS/writeconfig
  466   ??  S      0:00.55 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
  467   ??  S      0:00.02 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
  468   ??  S      0:00.15 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  469   ??  Ss     0:06.32 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension -AppleLanguages ("en-US")
  470   ??  Ss     0:00.48 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetPeople.appex/Contents/MacOS/FindMyWidgetPeople -AppleLanguages ("en-US")
  471   ??  Ss     0:00.11 /System/Applications/Photos.app/Contents/PlugIns/PhotosReliveWidget.appex/Contents/MacOS/PhotosReliveWidget -AppleLanguages ("en-US")
  472   ??  Ss     0:00.74 /System/Applications/News.app/Contents/PlugIns/NewsTag.appex/Contents/MacOS/NewsTag -AppleLanguages ("en-US")
  473   ??  Ss     0:03.20 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget -AppleLanguages ("en-US")
  474   ??  Ss     0:11.45 /System/Library/CoreServices/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget -AppleLanguages ("en-US")
  475   ??  S      0:00.07 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  476   ??  S      0:00.64 /usr/libexec/sharingd
  477   ??  S      0:00.12 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  479   ??  Ss     0:01.54 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  481   ??  S      0:03.43 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  482   ??  Ss     0:00.45 /System/Applications/Stocks.app/Contents/PlugIns/StocksDetailIntents.appex/Contents/MacOS/StocksDetailIntents -AppleLanguages ("en-US")
  483   ??  S      0:00.30 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
